timestamp,acceleration
69.937,0.017
69.993,0.018
70.027,0.018
70.069,0.016
70.084,0.017
70.093,0.018
70.193,0.018
70.22,0.017
70.312,0.018
70.318,0.017
70.335,0.017
70.377,0.018
70.444,0.018
70.47,0.016
70.496,0.018
70.502,0.017
70.585,0.017
70.645,0.018
70.668,0.017
70.697,0.018
70.735,0.017
70.763,0.018
70.81,0.018
70.884,0.017
70.918,0.017
70.944,0.018
70.976,0.018
70.986,0.017
71.058,0.018
71.101,0.016
71.145,0.018
71.153,0.017
71.221,0.017
71.276,0.018
71.304,0.017
71.362,0.018
71.401,0.016
71.429,0.018
71.461,0.018
71.535,0.017
71.569,0.017
71.593,0.018
71.62,0.017
71.645,0.018
71.703,0.017
71.762,0.018
71.827,0.018
71.836,0.016
71.862,0.018
71.919,0.017
71.968,0.017
71.995,0.018
72.029,0.018
72.035,0.017
72.11,0.018
72.155,0.017
72.193,0.018
72.22,0.017
72.293,0.018
72.321,0.017
72.377,0.018
72.385,0.017
72.487,0.017
72.498,0.018
72.51,0.018
72.554,0.017
72.603,0.017
72.645,0.018
72.691,0.017
72.696,0.018
72.776,0.018
72.786,0.017
72.885,0.017
72.895,0.018
72.933,0.017
72.945,0.018
73.035,0.017
73.046,0.018
73.114,0.018
73.153,0.017
73.178,0.018
73.203,0.016
73.248,0.016
73.277,0.018
73.387,0.017
73.395,0.018
73.411,0.018
73.452,0.017
73.478,0.018
73.535,0.017
73.561,0.018
73.587,0.017
73.671,0.017
73.677,0.018
73.735,0.017
73.777,0.018
73.837,0.017
73.844,0.018
73.887,0.016
73.927,0.018
73.987,0.017
73.994,0.018
74.062,0.018
74.07,0.016
74.161,0.018
74.185,0.017
74.277,0.018
74.285,0.017
74.304,0.017
74.312,0.018
74.377,0.018
74.404,0.017
74.454,0.017
74.495,0.018
74.553,0.017
74.579,0.018
74.62,0.017
74.646,0.018
74.704,0.017
74.762,0.018
74.771,0.017
74.795,0.018
74.894,0.018
74.904,0.016
74.985,0.017
75.013,0.018
75.03,0.018
75.086,0.017
75.161,0.018
75.172,0.017
75.229,0.018
75.253,0.017
75.322,0.017
75.328,0.018
75.352,0.017
75.413,0.018
75.47,0.017
75.48,0.018
75.531,0.018
75.537,0.017
75.645,0.018
75.654,0.017
75.672,0.017
75.712,0.018
75.745,0.018
75.804,0.017
75.827,0.018
75.837,0.017
75.912,0.018
75.953,0.017
75.987,0.016
76.061,0.018
76.087,0.017
76.095,0.018
76.187,0.017
76.216,0.018
76.244,0.018
76.255,0.016
76.311,0.018
76.331,0.017
76.396,0.018
76.436,0.017
76.496,0.018
76.522,0.017
76.554,0.017
76.613,0.018
76.637,0.017
76.662,0.018
76.713,0.018
76.739,0.016
76.817,0.017
76.844,0.018
76.911,0.018
76.933,0.017
76.956,0.017
77.032,0.018
77.055,0.017
77.095,0.018
77.137,0.017
77.164,0.018
77.205,0.017
77.245,0.018
77.288,0.017
77.341,0.018
77.394,0.018
77.403,0.017
77.478,0.018
77.488,0.017
77.522,0.017
77.529,0.018
77.644,0.018
77.671,0.017
77.684,0.018
77.738,0.017
77.797,0.018
77.805,0.017
77.88,0.018
77.904,0.017
